稳定测试,#genre#
亚洲功夫台,https://tc-tc2-interact.douyucdn2.cn/dyliveflv3/11849283rSKSe03B_900.m3u8
凤凰资讯高清,http://jxdx.chiang.fun:8081/hls/36/index.m3u8
凤凰卫视高清,http://jxdx.chiang.fun:8081/hls/37/index.m3u8
凤凰香港高清,http://jxdx.chiang.fun:8081/hls/38/index.m3u8
台視HD,http://38.55.196.64/tw477/tw2.php?id=live1047
中視HD,http://38.55.196.64/tw477/tw2.php?id=live1048
華視HD,http://38.55.196.64/tw477/tw2.php?id=live1049
民視HD,http://38.55.196.64/tw477/tw2.php?id=live1050
公視,http://38.55.196.64/tw477/tw2.php?id=live1201
人間衛視,http://38.55.196.64/tw477/tw2.php?id=live1198
大愛電視,http://38.55.196.64/tw477/tw2.php?id=live1216
好消息GOOD TV,http://38.55.196.64/tw477/tw2.php?id=live1669
國家地理HD,http://38.55.196.64/tw477/tw2.php?id=live1003
DISCOVERY,http://38.55.196.64/tw477/tw2.php?id=live1002
旅遊生活,http://38.55.196.64/tw477/tw2.php?id=live1005
動物星球,http://38.55.196.64/tw477/tw2.php?id=live1004
亞洲旅遊,http://38.55.196.64/tw477/tw2.php?id=live1219
momo親子台,http://38.55.196.64/tw477/tw2.php?id=live1007
東森幼幼HD,http://38.55.196.64/tw477/tw2.php?id=live1008
龍華卡通台,http://38.55.196.64/tw477/tw2.php?id=live1670
緯來綜合HD,http://38.55.196.64/tw477/tw2.php?id=live1044
八大第一HD,http://38.55.196.64/tw477/tw2.php?id=live1043
八大綜合HD,http://38.55.196.64/tw477/tw2.php?id=live1019
三立台灣HD,http://38.55.196.64/tw477/tw2.php?id=live1021
三立都會HD,http://38.55.196.64/tw477/tw2.php?id=live1020
衛視中文HD,http://38.55.196.64/tw477/tw2.php?id=live1024
東森綜合HD,http://38.55.196.64/tw477/tw2.php?id=live1041
超視HD,http://38.55.196.64/tw477/tw2.php?id=live1180
中天綜合HD,http://38.55.196.64/tw477/tw2.php?id=live1022
中天娛樂HD,http://38.55.196.64/tw477/tw2.php?id=live1023
東風衛視,http://38.55.196.64/tw477/tw2.php?id=live1195
MUCH TV,http://38.55.196.64/tw477/tw2.php?id=live1189
東森戲劇HD,http://38.55.196.64/tw477/tw2.php?id=live1042
八大戲劇HD,http://38.55.196.64/tw477/tw2.php?id=live1057
TVBS歡樂HD,http://38.55.196.64/tw477/tw2.php?id=live1018
緯來戲劇,http://38.55.196.64/tw477/tw2.php?id=live1186
龍華戲劇台,http://38.55.196.64/tw477/tw2.php?id=live1671
龍華日韓劇,http://38.55.196.64/tw477/tw2.php?id=live1672
龍華偶像劇,http://38.55.196.64/tw477/tw2.php?id=live1673
緯來日本HD,http://38.55.196.64/tw477/tw2.php?id=live1026
Taiwan Plus,http://38.55.196.64/tw477/tw2.php?id=live1674
年代新聞,http://38.55.196.64/tw477/tw2.php?id=live1192
東森新聞HD,http://38.55.196.64/tw477/tw2.php?id=live1014
中天新聞,http://38.55.196.64/tw477/tw2.php?id=live1675
民視新聞,http://38.55.196.64/tw477/tw2.php?id=live1204
三立新聞HD,http://38.55.196.64/tw477/tw2.php?id=live1016
TVBS新聞HD,http://38.55.196.64/tw477/tw2.php?id=live1051
TVBS HD,http://38.55.196.64/tw477/tw2.php?id=live1063
非凡新聞,http://38.55.196.64/tw477/tw2.php?id=live1013
非凡商業,http://38.55.196.64/tw477/tw2.php?id=live1012
東森財經HD,http://38.55.196.64/tw477/tw2.php?id=live1017
寰宇新聞,http://38.55.196.64/tw477/tw2.php?id=live1222
壹新聞,http://38.55.196.64/tw477/tw2.php?id=live1676
Bloomberg News,http://38.55.196.64/tw477/tw2.php?id=live1066
NHK世界HD,http://38.55.196.64/tw477/tw2.php?id=live1027
衛視電影HD,http://38.55.196.64/tw477/tw2.php?id=live1031
好萊塢電影HD,http://38.55.196.64/tw477/tw2.php?id=live1025
緯來電影HD,http://38.55.196.64/tw477/tw2.php?id=live1183
龍華電影台,http://38.55.196.64/tw477/tw2.php?id=live1677
HBO,http://38.55.196.64/tw477/tw2.php?id=live1029
AXN,http://38.55.196.64/tw477/tw2.php?id=live1054
CINEMAX HD,http://38.55.196.64/tw477/tw2.php?id=live1030
STAR MOVIES GOLD,http://38.55.196.64/tw477/tw2.php?id=live1032
Star World,http://38.55.196.64/tw477/tw2.php?id=live1040
緯來育樂HD,http://38.55.196.64/tw477/tw2.php?id=live1045
緯來體育HD,http://38.55.196.64/tw477/tw2.php?id=live1011
博斯運動一,http://38.55.196.64/tw477/tw2.php?id=live1225
momo 綜合台,http://38.55.196.64/tw477/tw2.php?id=live1678
ELEVEN SPORTS 1 HD,http://38.55.196.64/tw477/tw2.php?id=live1069
ELEVEN SPORTS 2 HD,http://38.55.196.64/tw477/tw2.php?id=live1072
鳯凰衛視資訊,http://38.55.196.64/tw477/tw2.php?id=live1666
鳯凰衛視中文,http://38.55.196.64/tw477/tw2.php?id=live1213
